Level	Rule Name	Subject	Property	Value
WARN	missing_definition	FBcv:0000406	IAO:0000600		
WARN	missing_definition	FBcv:0000407	IAO:0000600		
WARN	missing_definition	FBcv:0000408	IAO:0000600		
WARN	missing_definition	FBcv:0000409	IAO:0000600		
WARN	missing_definition	FBcv:0000410	IAO:0000600		
WARN	missing_definition	FBcv:0000411	IAO:0000600		
WARN	missing_definition	FBcv:0000412	IAO:0000600		
WARN	missing_definition	FBcv:0000413	IAO:0000600		
WARN	missing_definition	FBcv:0000414	IAO:0000600		
WARN	missing_definition	FBcv:0000415	IAO:0000600		
WARN	missing_definition	FBcv:0000416	IAO:0000600		
WARN	missing_definition	FBcv:0000417	IAO:0000600		
WARN	missing_definition	FBcv:0000418	IAO:0000600		
WARN	missing_definition	FBcv:0000419	IAO:0000600		
WARN	missing_definition	FBcv:0000420	IAO:0000600		
WARN	missing_definition	FBcv:0000421	IAO:0000600		
WARN	missing_definition	FBcv:0000422	IAO:0000600		
WARN	missing_definition	FBcv:0000423	IAO:0000600		
WARN	missing_definition	FBcv:0000424	IAO:0000600		
WARN	missing_definition	FBcv:0000425	IAO:0000600		
WARN	missing_definition	FBcv:0000426	IAO:0000600		
WARN	missing_definition	FBcv:0000427	IAO:0000600		
WARN	missing_definition	FBcv:0000428	IAO:0000600		
WARN	missing_definition	FBcv:0000429	IAO:0000600		
WARN	missing_definition	FBcv:0000430	IAO:0000600		
WARN	missing_definition	FBcv:0000431	IAO:0000600		
WARN	missing_definition	FBcv:0000432	IAO:0000600		
WARN	missing_definition	FBcv:0000433	IAO:0000600		
WARN	missing_definition	FBcv:0000434	IAO:0000600		
WARN	missing_definition	FBcv:0000435	IAO:0000600		
WARN	missing_definition	FBcv:0000436	IAO:0000600		
WARN	missing_definition	FBcv:0000438	IAO:0000600		
WARN	missing_definition	FBcv:0000439	IAO:0000600		
WARN	missing_definition	FBcv:0000440	IAO:0000600		
WARN	missing_definition	FBcv:0000441	IAO:0000600		
