defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
FBcv:0000360	decreased cell size	CL:0000000	cell
FBcv:0000358	decreased body size	FBbt:00000001	organism
FBcv:0007508	decreased size	FBbt:00007001	anatomical structure
