defined_class	defined_class_label	behavior_process	behavior_process_label
FBcv:0007518	decreased efficacy of memory	GO:0007613	memory
FBcv:0007520	decreased efficacy of short-term memory	GO:0007614	short-term memory
FBcv:0007522	decreased efficacy of long-term memory	GO:0007616	long-term memory
FBcv:0007524	decreased efficacy of anesthesia-resistant memory	GO:0007615	anesthesia-resistant memory
FBcv:0007526	decreased efficacy of medium-term memory	GO:0072375	medium-term memory
FBcv:0007531	decreased efficacy of learning	GO:0007612	learning
