defined_class	defined_class_label	quality	quality_label
FBcv:0000377	female fertile	PATO:0000888	female fertile
FBcv:0000374	fertile	PATO:0000955	fertile
FBcv:0000376	male fertile	PATO:0000891	male fertile
FBcv:0000349	viable	PATO:0000719	viable
