defined_class	defined_class_label	biological_process	biological_process_label
FBcv:0000718	decreased cell growth	GO:0016049	cell growth
FBcv:0000390	hypoactive	GO:0050879	multicellular organismal movement
FBcv:0007510	decreased rate of phototaxis	GO:0042331	phototaxis
FBcv:0007512	decreased rate of cell adhesion	GO:0007155	cell adhesion
