defined_class	defined_class_label	biological_process	biological_process_label
FBcv:0000717	increased cell growth	GO:0016049	cell growth
FBcv:0000392	hyperactive	GO:0050879	multicellular organismal movement
FBcv:0007509	increased rate of phototaxis	GO:0042331	phototaxis
FBcv:0007511	increased rate of cell adhesion	GO:0007155	cell adhesion
