defined_class	defined_class_label	quality	quality_label
http://purl.obolibrary.org/obo/FBcv_0006002	decreased fecundity	http://purl.obolibrary.org/obo/PATO_0001696	decreased fecundity
http://purl.obolibrary.org/obo/FBcv_0000007	female semi-fertile	http://purl.obolibrary.org/obo/PATO_0001760	female semi-fertile
http://purl.obolibrary.org/obo/FBcv_0000367	female semi-sterile	http://purl.obolibrary.org/obo/PATO_0001763	female semi-sterile
http://purl.obolibrary.org/obo/FBcv_0000366	female sterile	http://purl.obolibrary.org/obo/PATO_0000892	female sterile
http://purl.obolibrary.org/obo/FBcv_0000378	grandchildless	http://purl.obolibrary.org/obo/PATO_0001862	lack of fertility in offspring
http://purl.obolibrary.org/obo/FBcv_0006001	increased fecundity	http://purl.obolibrary.org/obo/PATO_0001695	increased fecundity
http://purl.obolibrary.org/obo/FBcv_0000006	male semi-fertile	http://purl.obolibrary.org/obo/PATO_0001761	male semi-fertile
http://purl.obolibrary.org/obo/FBcv_0000371	male semi-sterile	http://purl.obolibrary.org/obo/PATO_0001762	male semi-sterile
http://purl.obolibrary.org/obo/FBcv_0000370	male sterlie	http://purl.obolibrary.org/obo/PATO_0000890	male sterile
http://purl.obolibrary.org/obo/FBcv_0000364	sterile	http://purl.obolibrary.org/obo/PATO_0000956	sterile
http://purl.obolibrary.org/obo/FBcv_0000383	auxotroph	http://purl.obolibrary.org/obo/PATO_0000422	auxotrophic
http://purl.obolibrary.org/obo/FBcv_0000375	semi-fertile	http://purl.obolibrary.org/obo/PATO_0001767	semi-fertile
