defined_class	defined_class_label	quality	quality_label
http://purl.obolibrary.org/obo/FBcv_0000377	female fertile	http://purl.obolibrary.org/obo/PATO_0000888	female fertile
http://purl.obolibrary.org/obo/FBcv_0000374	fertile	http://purl.obolibrary.org/obo/PATO_0000955	fertile
http://purl.obolibrary.org/obo/FBcv_0000376	male fertile	http://purl.obolibrary.org/obo/PATO_0000891	male fertile
http://purl.obolibrary.org/obo/FBcv_0000349	viable	http://purl.obolibrary.org/obo/PATO_0000719	viable
