?x	?p	?y
<http://purl.obolibrary.org/obo/GO_0040020>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0140013>
<http://purl.obolibrary.org/obo/ENVO_02000140>	<http://purl.obolibrary.org/obo/RO_0002473>	_:B9a1b8af3X2D6c35X2D4858X2D8c88X2D69d99393060dgenid1542
<http://purl.obolibrary.org/obo/GO_0051931>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0007600>
<http://purl.obolibrary.org/obo/ENVO_01000016>	<http://purl.obolibrary.org/obo/RO_0000053>	<http://purl.obolibrary.org/obo/PATO_0000150>
<http://purl.obolibrary.org/obo/FBdv_00006012>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005371>
<http://purl.obolibrary.org/obo/ENVO_01000323>	<http://purl.obolibrary.org/obo/RO_0002007>	<http://purl.obolibrary.org/obo/ENVO_01000267>
<http://purl.obolibrary.org/obo/FBbt_00110638>	<http://purl.obolibrary.org/obo/RO_0002131>	<http://purl.obolibrary.org/obo/FBbt_00003004>
<http://purl.obolibrary.org/obo/FBdv_00005281>	<http://purl.obolibrary.org/obo/FBdv_00018001>	<http://purl.obolibrary.org/obo/FBdv_00005278>
<http://purl.obolibrary.org/obo/ENVO_01001211>	<http://purl.obolibrary.org/obo/RO_0002608>	<http://purl.obolibrary.org/obo/ENVO_01000801>
<http://purl.obolibrary.org/obo/ENVO_01001137>	<http://purl.obolibrary.org/obo/BFO_0000051>	_:B9a1b8af3X2D6c35X2D4858X2D8c88X2D69d99393060dgenid1150
<http://purl.obolibrary.org/obo/FBdv_00005332>	<http://purl.obolibrary.org/obo/FBdv_00018001>	<http://purl.obolibrary.org/obo/FBdv_00005331>
<http://purl.obolibrary.org/obo/FBbt_00005749>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/FBbt_00005747>
<http://purl.obolibrary.org/obo/FBdv_00005352>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005351>
<http://purl.obolibrary.org/obo/FBbt_00016010>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/FBbt_00016009>
<http://purl.obolibrary.org/obo/ENVO_01000017>	<http://purl.obolibrary.org/obo/RO_0000053>	<http://purl.obolibrary.org/obo/PATO_0000150>
<http://purl.obolibrary.org/obo/ENVO_00002982>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/ENVO_01003003>
<http://purl.obolibrary.org/obo/FBdv_00005338>	<http://purl.obolibrary.org/obo/FBdv_00018001>	<http://purl.obolibrary.org/obo/FBdv_00005336>
<http://purl.obolibrary.org/obo/FBbt_00005805>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/FBbt_00005830>
<http://purl.obolibrary.org/obo/FBdv_00005347>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005345>
<http://purl.obolibrary.org/obo/ENVO_09000014>	<http://purl.obolibrary.org/obo/RO_0000052>	_:B9a1b8af3X2D6c35X2D4858X2D8c88X2D69d99393060dgenid1725
<http://purl.obolibrary.org/obo/ENVO_01000635>	<http://purl.obolibrary.org/obo/RO_0002219>	_:B9a1b8af3X2D6c35X2D4858X2D8c88X2D69d99393060dgenid910
<http://purl.obolibrary.org/obo/FBdv_00005327>	<http://purl.obolibrary.org/obo/FBdv_00018001>	<http://purl.obolibrary.org/obo/FBdv_00004450>
<http://purl.obolibrary.org/obo/ENVO_01000726>	<http://purl.obolibrary.org/obo/RO_0002233>	_:B9a1b8af3X2D6c35X2D4858X2D8c88X2D69d99393060dgenid948
<http://purl.obolibrary.org/obo/FBbt_00001920>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/FBbt_00001060>
<http://purl.obolibrary.org/obo/GO_0002009>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0060429>
<http://purl.obolibrary.org/obo/ENVO_01001795>	<http://purl.obolibrary.org/obo/RO_0002608>	<http://purl.obolibrary.org/obo/ENVO_01001110>
<http://purl.obolibrary.org/obo/ENVO_00001998>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/ENVO_00002982>
<http://purl.obolibrary.org/obo/ENVO_03400004>	<http://purl.obolibrary.org/obo/RO_0000086>	<http://purl.obolibrary.org/obo/PATO_0000912>
<http://purl.obolibrary.org/obo/PCO_0000000>	<http://purl.obolibrary.org/obo/RO_0002351>	<http://purl.obolibrary.org/obo/CARO_0001010>
<http://purl.obolibrary.org/obo/FBbt_00001732>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/FBbt_00001730>
<http://purl.obolibrary.org/obo/ENVO_01000268>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ENVO_01000267>
<http://purl.obolibrary.org/obo/ENVO_01001135>	<http://purl.obolibrary.org/obo/BFO_0000051>	_:B9a1b8af3X2D6c35X2D4858X2D8c88X2D69d99393060dgenid1119
<http://purl.obolibrary.org/obo/CL_0000219>	<http://purl.obolibrary.org/obo/RO_0002215>	<http://purl.obolibrary.org/obo/GO_0048870>
<http://purl.obolibrary.org/obo/FBdv_00005301>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005300>
<http://purl.obolibrary.org/obo/FBbt_00047735>	<http://purl.obolibrary.org/obo/RO_0002215>	<http://purl.obolibrary.org/obo/GO_0050953>
<http://purl.obolibrary.org/obo/GO_0000278>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/GO_0140014>
<http://purl.obolibrary.org/obo/ENVO_00002006>	<http://purl.obolibrary.org/obo/RO_0002473>	<http://purl.obolibrary.org/obo/CHEBI_15377>
<http://purl.obolibrary.org/obo/FBdv_00005343>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00007005>
<http://purl.obolibrary.org/obo/FBbt_00007145>	<http://purl.obolibrary.org/obo/RO_0002131>	<http://purl.obolibrary.org/obo/FBbt_00003011>
<http://purl.obolibrary.org/obo/CHEBI_16526>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_46787>
<http://purl.obolibrary.org/obo/FBdv_00005268>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005267>
<http://purl.obolibrary.org/obo/FBdv_00005370>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00007001>
<http://purl.obolibrary.org/obo/FBbt_00005155>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/FBbt_00007692>
<http://purl.obolibrary.org/obo/FBdv_00005319>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005318>
<http://purl.obolibrary.org/obo/ENVO_09200012>	<http://purl.obolibrary.org/obo/RO_0000052>	<http://purl.obolibrary.org/obo/ENVO_00001998>
<http://purl.obolibrary.org/obo/CARO_0010000>	<http://purl.obolibrary.org/obo/RO_0000053>	<http://purl.obolibrary.org/obo/PATO_0001993>
<http://purl.obolibrary.org/obo/FBbt_00051067>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/FBbt_00001919>
<http://purl.obolibrary.org/obo/FBdv_00005302>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005300>
<http://purl.obolibrary.org/obo/ENVO_01000819>	<http://purl.obolibrary.org/obo/RO_0002473>	<http://purl.obolibrary.org/obo/ENVO_00002006>
<http://purl.obolibrary.org/obo/PATO_0000462>	<http://purl.obolibrary.org/obo/RO_0015012>	<http://purl.obolibrary.org/obo/PATO_0002000>
<http://purl.obolibrary.org/obo/FBdv_00005350>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005348>
<http://purl.obolibrary.org/obo/FBbt_01000119>	<http://purl.obolibrary.org/obo/RO_0002203>	<http://purl.obolibrary.org/obo/FBbt_00000119>
<http://purl.obolibrary.org/obo/FBbt_00001058>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/FBbt_00000155>
<http://purl.obolibrary.org/obo/ENVO_01000820>	<http://purl.obolibrary.org/obo/RO_0002473>	<http://purl.obolibrary.org/obo/ENVO_00001998>
<http://purl.obolibrary.org/obo/CHEBI_33679>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_30217>
<http://purl.obolibrary.org/obo/ENVO_01000280>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ENVO_01000817>
<http://purl.obolibrary.org/obo/GO_0046662>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0018991>
<http://purl.obolibrary.org/obo/FBdv_00005328>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00004450>
<http://purl.obolibrary.org/obo/ENVO_01001147>	<http://purl.obolibrary.org/obo/BFO_0000051>	_:B9a1b8af3X2D6c35X2D4858X2D8c88X2D69d99393060dgenid1171
<http://purl.obolibrary.org/obo/CHEBI_15379>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_63248>
<http://purl.obolibrary.org/obo/GO_2000821>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0007625>
<http://purl.obolibrary.org/obo/FBdv_00005299>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005298>
<http://purl.obolibrary.org/obo/FBbt_00000119>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/FBbt_00000111>
<http://purl.obolibrary.org/obo/FBdv_00007004>	<http://purl.obolibrary.org/obo/FBdv_00018001>	<http://purl.obolibrary.org/obo/FBdv_00007007>
<http://purl.obolibrary.org/obo/FBdv_00005328>	<http://purl.obolibrary.org/obo/RO_0002087>	<http://purl.obolibrary.org/obo/FBdv_00005321>
<http://purl.obolibrary.org/obo/ENVO_09000004>	<http://purl.obolibrary.org/obo/RO_0000052>	_:B9a1b8af3X2D6c35X2D4858X2D8c88X2D69d99393060dgenid1673
