defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/FBcv_0000717	increased cell growth	http://purl.obolibrary.org/obo/GO_0016049	cell growth
http://purl.obolibrary.org/obo/FBcv_0000792	premature aging	http://purl.obolibrary.org/obo/GO_0007568	aging
